Vestigingsplaatsen  gewoon secundair onderwijs
schoolnummer;intern_vplnummer;vestigingsnummer;net;naam;hoofdzetel;straat;huisnummer;postcode;gemeente;crab-code;crab-huisnr;crab-busnr;telefoon;fax;e-mail;url;familienaam beheerder;voornaam beheerder;e-mail;url;Lx;Ly
41574;3;3;Gemeenschapsonderwijs;GO! technisch atheneum Jette;N;Chrysantenstraat;26   ;1020;LAKEN;000000019645;26;     ;02-502.05.04;;;;Pijpen;Christian;kta.jette@g-o.be;http://www.kta-jette.be;148661;174611
127878;1;1;Vrij gesubsidieerd onderwijs;Maria Assumptalyceum;J;Stalkruidlaan;9    ;1020;LAKEN;000000020544;9;     ;02-268.29.77;02-262.12.02;info@mariaassumptalyceum.be;http://www.mariaassumptalyceum.be;Croonenberghs;Yannick;info@mariaassumptalyceum.be;http://www.mariaassumptalyceum.be;149568;176588
32177;1;1;Officieel gesubsidieerd onderwijs;Hoofdstedelijk Atheneum Karel Buls;J;Bonekruidlaan;88   ;1020;LAKEN;000000019586;88;     ;02-266.11.00;02-266.11.18;sec.karelbuls@brucity.education;http://www.karelbuls.be;Veldeman;Dirk;sec.karelbuls@brucity.education;http://www.karelbuls.be;150102;176176
32342;1;1;Vrij gesubsidieerd onderwijs;Jan-van-Ruusbroeckollege;J;Forumlaan;4    ;1020;LAKEN;000000019796;4;     ;02-268.10.36;02-262.29.48;veronique.thielemans@ruusbroec.be;http://www.ruusbroec.be;Thielemans;Veronique;veronique.thielemans@ruusbroec.be;http://www.ruusbroec.be;149040;176334
32136;1;1;Vrij gesubsidieerd onderwijs;Maria Assumptalyceum          A.S.O.-T.S.O.-B.S.O.;J;Stalkruidlaan;1    ;1020;LAKEN;000000020544;1;     ;02-268.29.77;02-262.12.02;info@mariaassumptalyceum.be;http://www.mariaassumptalyceum.be;Van den Houte;Els;info@mariaassumptalyceum.be;http://www.mariaassumptalyceum.be;149568;176588
32185;2;2;Vrij gesubsidieerd onderwijs;Regina Pacisinstituut;N;Stalkruidlaan;1    ;1020;LAKEN;000000020544;1;     ;02-268.29.77;02-262.12.02;;;Lefebvre;Xavier;directie@reginapacis.eu;http://www.reginapacis.eu;149568;176588
32185;1;1;Vrij gesubsidieerd onderwijs;Regina Pacisinstituut;J;Magnolialaan;2    ;1020;LAKEN;000000020172;2;     ;02-479.28.59;02-479.32.34;directie@reginapacis.eu;http://www.reginapacis.eu;Lefebvre;Xavier;directie@reginapacis.eu;http://www.reginapacis.eu;147215;176342
127464;1;1;Vrij gesubsidieerd onderwijs;Jan-van-Ruusbroeckollege      Eerste Graad;J;Forumlaan;4    ;1020;LAKEN;000000019796;4;     ;02-268.10.36;02-262.29.48;veronique.thielemans@ruusbroec.be;http://www.ruusbroec.be;Thielemans;Veronique;veronique.thielemans@ruusbroec.be;http://www.ruusbroec.be;149040;176334
49189;1;1;Vrij gesubsidieerd onderwijs;Sint-Lukas Kunsthumaniora;J;Groenstraat;156  ;1030;SCHAARBEEK;000000022776;156;     ;02-217.77.00;02-218.35.46;info@sintlukas.brussels;http://sintlukas.com;BAUWENS;Kris;info@sintlukas.brussels;http://sintlukas.com;149803;172280
41756;1;1;Gemeenschapsonderwijs;GO! atheneum Emanuel Hiel Schaarbeek-Evere;J;Charles Gilisquetlaan;34   ;1030;SCHAARBEEK;000000022697;34;     ;02-241.31.08;;info@kahiel.be;http://www.kahiel.be;Janssens;An;info@kahiel.be;http://www.kahiel.be;151717;172606
47316;11;10;Vrij gesubsidieerd onderwijs;Middelbare Steinerschool      Vlaanderen;N;Gaucheretplein;13   ;1030;SCHAARBEEK;000000022757;13;     ;02-521.04.92;;;;Buyck;Paul;info@msv-vzw.be;http://www.msv-vzw.be;149395;172824
41483;1;1;Gemeenschapsonderwijs;GO! atheneum Etterbeek;J;Edmond Mesenslaan;2    ;1040;ETTERBEEK;000000020830;2;     ;02-738.70.40;02-732.64.33;directie@kaetterbeek.be;http://www.kaetterbeek.be;DE CLERCQ;Patrick;directie@kaetterbeek.be;http://www.kaetterbeek.be;152740;169020
41483;7;6;Gemeenschapsonderwijs;GO! atheneum Etterbeek;N;Pleinlaan;2    ;1050;ELSENE;000000021721;2;     ;02-629.20.10;;;;DE CLERCQ;Patrick;directie@kaetterbeek.be;http://www.kaetterbeek.be;151681;168064
31963;1;1;Gemeenschapsonderwijs;GO! atheneum Anderlecht;J;Sint-Guidostraat;73   ;1070;ANDERLECHT;000000019023;73;     ;02-522.71.12;;ka.anderlecht@g-o.be;http://www.kaa.vgc.be;VAN DEN BERGHE;Erik;ka.anderlecht@g-o.be;http://www.kaa.vgc.be;145346;169504
31997;1;1;Gemeenschapsonderwijs;COOVI Secundair onderwijs;J;Emile Grysonlaan;1    ;1070;ANDERLECHT;000000018732;1;     ;02-526.56.00;02-526.56.01;secundair@coovi.be;http://www.coovi.be;De Wispelaere;Luc;secundair@coovi.be;http://www.coovi.be;144795;167226
32052;6;4;Vrij gesubsidieerd onderwijs;Sint-Guido-Instituut;N;Verheydenstraat;39   ;1070;ANDERLECHT;000000019058;39;     ;02-414.21.00;02-527.12.36;;;Behets;Candide;candide.behets@sintguido.be;http://www.sintguido.be;146398;170690
32052;5;3;Vrij gesubsidieerd onderwijs;Sint-Guido-Instituut;N;Sainte-Adresseplein;12   ;1070;ANDERLECHT;000000019008;12;     ;02-520.86.30;02-527.12.36;;;Behets;Candide;candide.behets@sintguido.be;http://www.sintguido.be;145528;169752
33258;2;2;Vrij gesubsidieerd onderwijs;Imelda-Instituut;N;Ninoofse Steenweg;339  ;1070;ANDERLECHT;000000018937;339;     ;02-410.54.24;;;;De Prins;Kurt;info@imelda-instituut.be;http://www.imelda-instituut.be;146063;170871
31963;3;2;Gemeenschapsonderwijs;GO! atheneum Anderlecht;N;Léopold De Swaefstraat;38   ;1070;ANDERLECHT;000000018891;38;     ;02-521.58.67;;;;VAN DEN BERGHE;Erik;ka.anderlecht@g-o.be;http://www.kaa.vgc.be;145956;170676
32052;7;7;Vrij gesubsidieerd onderwijs;Sint-Guido-Instituut;N;Ninoofse Steenweg;367_3;1070;ANDERLECHT;000000018937;367;371  ;02-520.05.72;;;;Behets;Candide;candide.behets@sintguido.be;http://www.sintguido.be;145991;170861
126029;1;1;Vrij gesubsidieerd onderwijs;Sint-Niklaasinstituut;J;Bergense Steenweg;1421 ;1070;ANDERLECHT;000000018649;1421;     ;02-523.15.20;;directie.sni@gmail.com;http://www.sni.be;Walravens;Gert;directie.sni@gmail.com;http://www.sni.be;144171;166977
32052;2;2;Vrij gesubsidieerd onderwijs;Sint-Guido-Instituut;N;Itterbeekse Laan;550  ;1070;ANDERLECHT;000000018822;550;     ;02-527.05.87;02-527.12.36;;;Behets;Candide;candide.behets@sintguido.be;http://www.sintguido.be;143122;169518
47316;7;6;Vrij gesubsidieerd onderwijs;Middelbare Steinerschool      Vlaanderen;N;Sint-Janskruidlaan;14   ;1070;ANDERLECHT;000000019024;14;     ;02-521.04.92;;;;Buyck;Paul;info@msv-vzw.be;http://www.msv-vzw.be;144016;167010
32052;1;1;Vrij gesubsidieerd onderwijs;Sint-Guido-Instituut;J;Dokter Jacobsstraat;67   ;1070;ANDERLECHT;000000018706;67;     ;02-521.60.10;02-527.12.36;candide.behets@sintguido.be;http://www.sintguido.be;Behets;Candide;candide.behets@sintguido.be;http://www.sintguido.be;145340;169279
126037;1;1;Vrij gesubsidieerd onderwijs;Sint-Niklaasinstituut-autonome1ste graad;J;Bergense Steenweg;1421 ;1070;ANDERLECHT;000000018649;1421;     ;02-523.15.20;02-520.22.60;directie.sni@gmail.com;http://www.sni.be;Devillé;Hilde;directie.sni@gmail.com;http://www.sni.be;144171;166977
122382;1;1;Vrij gesubsidieerd onderwijs;Vrije Nederlandstalige school Lucerna College;J;Industrielaan;31   ;1070;ANDERLECHT;000000018819;31;     ;02-520.95.50;02-520.55.70;info@lucerna.be;http://www.lucerna.be;Cetin;Ozkan;info@lucerna.be;http://www.lucerna.be;145911;168352
31963;7;4;Gemeenschapsonderwijs;GO! atheneum Anderlecht;N;Toverfluitstraat;19   ;1080;SINT-JANS-MOLENBEEK;000000022339;19;     ;02-411.77.07;;;;VAN DEN BERGHE;Erik;ka.anderlecht@g-o.be;http://www.kaa.vgc.be;144937;171151
41699;1;1;Gemeenschapsonderwijs;atheneum GO! for Business;J;Toverfluitstraat;21   ;1080;SINT-JANS-MOLENBEEK;000000022339;21;     ;02-411.77.07;02-410.08.70;info@campustoverfluit.be;http://www.campustoverfluit.be/;Lafère;Jim;info@campustoverfluit.be;http://www.campustoverfluit.be/;144877;171153
41632;3;1;Gemeenschapsonderwijs;GO! atheneum Unescoschool Koekelberg;N;Félix Vande Sandestraat;15   ;1081;KOEKELBERG;000000022028;15;     ;02-468.20.40;02-468.36.29;pieter.buggenhout@atheneum-koekelberg.be;http://www.kakoekelberg.be;Buggenhout;Pieter;serge.algoet@kakoekelberg.be;http://www.kakoekelberg.be;146967;172394
41632;5;3;Gemeenschapsonderwijs;GO! atheneum Unescoschool Koekelberg;N;Félix Vande Sandestraat;11   ;1081;KOEKELBERG;000000022028;11;     ;0477-77.59.26;;;;Buggenhout;Pieter;serge.algoet@kakoekelberg.be;http://www.kakoekelberg.be;;
41764;1;1;Gemeenschapsonderwijs;GO! technisch atheneum Zavelenberg Sint-Agatha-Berchem;J;Oscar Ruelensplein;13   ;1082;SINT-AGATHA-BERCHEM;000000019437;13;     ;02-482.01.01;02-465.59.90;kta.sint-agatha-berchem@g-o.be;https://kta-zavelenberg.com/;Vielfont;Pieter;kta.sint-agatha-berchem@g-o.be;https://kta-zavelenberg.com/;145023;172984
41574;2;2;Gemeenschapsonderwijs;GO! technisch atheneum Jette;N;Prins Boudewijnstraat;71   ;1083;GANSHOREN;000000021435;71;     ;0476-96.21.03;;;;Pijpen;Christian;kta.jette@g-o.be;http://www.kta-jette.be;146510;173481
40907;2;2;Gemeenschapsonderwijs;GO! Busleyden Atheneum-campus Botaniek;N;Laarbeeklaan;121  ;1090;JETTE;000000021926;121;     ;02-472.52.43;02-479.71.02;;;Croonen;Stefaan;info@BAbotaniek.be;http://www.BAbotaniek.be;145595;174884
41574;1;1;Gemeenschapsonderwijs;GO! technisch atheneum Jette;J;Léon Theodorstraat;80   ;1090;JETTE;000000021932;80;     ;02-425.92.33;02-425.63.76;kta.jette@g-o.be;http://www.kta-jette.be;Pijpen;Christian;kta.jette@g-o.be;http://www.kta-jette.be;147050;173863
32797;1;1;Vrij gesubsidieerd onderwijs;Sint-Pieterscollege;J;Léon Theodorstraat;167  ;1090;JETTE;000000021932;167;     ;02-426.85.15;02-425.47.50;ASO@sint-pieterscollege.be;http://www.sint-pieterscollege.be;Lefevre;Xavier;ASO@sint-pieterscollege.be;http://www.sint-pieterscollege.be;147195;174154
127936;1;1;Vrij gesubsidieerd onderwijs;Sint-Pieterscollege;J;Léon Theodorstraat;167  ;1090;JETTE;000000021932;167;     ;02-426.85.15;02-425.47.50;ASO@sint-pieterscollege.be;http://www.sint-pieterscollege.be;Coppens;Freya;ASO@sint-pieterscollege.be;http://www.sint-pieterscollege.be;147195;174154
125922;1;1;Gemeenschapsonderwijs;GO! technisch atheneum Victor Hortaschool Evere;J;Oud-Strijderslaan;200  ;1140;EVERE;000000021096;200;     ;02-726.18.89;02-726.18.34;victor.horta@g-o.be;http://www.vhorta.be;Van Bossuyt;Dany;victor.horta@g-o.be;http://www.vhorta.be;152857;172862
41756;2;2;Gemeenschapsonderwijs;GO! atheneum Emanuel Hiel Schaarbeek-Evere;N;Oud-Strijderslaan;200  ;1140;EVERE;000000021096;200;     ;02-726.18.89;02-726.18.34;victor.horta@rago.be;;Janssens;An;info@kahiel.be;http://www.kahiel.be;152857;172862
41954;1;1;Gemeenschapsonderwijs;GO! atheneum Sint-Pieters-Woluwe;J;Grote Prijzenlaan;59   ;1150;SINT-PIETERS-WOLUWE;000000023960;59;     ;02-771.37.42;02-771.31.93;helena.van.driessche@atheneumwoluwe.be;http://www.atheneumwoluwe.be;Van Driessche;Helena;helena.van.driessche@atheneumwoluwe.be;http://www.atheneumwoluwe.be;156569;169205
33803;1;1;Vrij gesubsidieerd onderwijs;Mater Dei-Instituut;J;Luchtvaartlaan;70   ;1150;SINT-PIETERS-WOLUWE;000000024032;70;     ;02-771.08.69;02-771.39.08;info@materdei-spw.be;http://www.materdei-spw.be;Brisaert;Marc;info@materdei-spw.be;http://www.materdei-spw.be;156418;169141
33811;1;1;Vrij gesubsidieerd onderwijs;Sint-Jozefscollege;J;Woluwelaan;20   ;1150;SINT-PIETERS-WOLUWE;000000024155;20;     ;02-761.03.80;02-761.03.81;info@sjcwoluwe.be;http://www.sjcwoluwe.be;Vandeputte;Leen;info@sjcwoluwe.be;http://www.sjcwoluwe.be;154558;169428
33829;1;1;Vrij gesubsidieerd onderwijs;Don Bosco Technisch Instituut;J;Guldendallaan;90   ;1150;SINT-PIETERS-WOLUWE;000000023962;90;     ;02-771.99.62;02-771.18.13;directie@dbspw.be;http://www.donboscospw.be;Van der schueren;Gert;directie@dbspw.be;http://www.donboscospw.be;153940;169772
41368;2;2;Gemeenschapsonderwijs;GO! lyceum Brussel Martha Somers;N;Grote Prijzenlaan;59   ;1150;SINT-PIETERS-WOLUWE;000000023960;59;     ;02-771.37.42;;;;Elias;Katty;directie@lyceummarthasomers.be;http://www.lyceummarthasomers.be;156569;169205
32094;1;1;Vrij gesubsidieerd onderwijs;Lutgardiscollege;J;de Wahalaan;11   ;1160;OUDERGEM;000000019145;11;     ;02-672.38.67;02-679.06.10;info@lutgardiscollege.be;http://www.lutgardiscollege.be;Verheyden;Sabine;info@lutgardiscollege.be;http://www.lutgardiscollege.be;154228;167527
41871;1;1;Gemeenschapsonderwijs;GO! middenschool Ukkel;J;Nekkersgatlaan;17   ;1180;UKKEL;000000023236;17;     ;02-370.64.40;02-370.64.45;ka.ukkel@g-o.be;http://www.atheneum-ukkel.be/nl;Van Rooy;Jurgen;ka.ukkel@g-o.be;http://www.atheneum-ukkel.be/nl;147059;164628
41863;1;1;Gemeenschapsonderwijs;GO! atheneum Ukkel;J;Nekkersgatlaan;17   ;1180;UKKEL;000000023236;17;     ;02-370.64.40;02-370.64.45;ka.ukkel@g-o.be;http://www.atheneum-ukkel.be/nl;Matthys;Karin;ka.ukkel@g-o.be;http://www.atheneum-ukkel.be/nl;147059;164628
41541;1;1;Gemeenschapsonderwijs;GO! middenschool Halle;J;Auguste Demaeghtlaan;40   ;1500;HALLE;000000026016;40;     ;02-363.82.44;02-361.77.18;Directie.ms.halle@ringscholen.be;www.campuskahalle.be;De Clercq;David;Directie.ms.halle@ringscholen.be;www.campuskahalle.be;140550;158754
122879;1;1;Vrij gesubsidieerd onderwijs;Don Bosco Instituut eerste    graad;J;Lenniksesteenweg;2    ;1500;HALLE;000000026227;2;     ;02-356.29.49;02-363.09.81;info@donboscohalle.be;http://www.donboscohalle.be;Verdeyen;Wim;info@donboscohalle.be;http://www.donboscohalle.be;140086;159221
41533;1;1;Gemeenschapsonderwijs;GO! atheneum Halle;J;Auguste Demaeghtlaan;40   ;1500;HALLE;000000026016;40;     ;02-363.82.40;02-363.82.49;ka.halle@ringscholen.be;http://www.campuskahalle.be;CARON;Stéphanie;ka.halle@ringscholen.be;http://www.campuskahalle.be;140550;158754
32607;1;1;Vrij gesubsidieerd onderwijs;Don Bosco Technisch Instituut;J;Lenniksesteenweg;2    ;1500;HALLE;000000026227;2;     ;02-356.29.49;02-363.09.81;info@donboscohalle.be;http://www.donboscohalle.be;BRYNAERT;Michel;info@donboscohalle.be;http://www.donboscohalle.be;140086;159221
32623;1;1;Vrij gesubsidieerd onderwijs;Heilig-Hart&College 2;J;Parklaan;7    ;1500;HALLE;000000026284;7;     ;02-363.80.20;;goedele.deserrano@hhchalle.be;http://www.hhchalle.be;Deserrano;Goedele;goedele.deserrano@hhchalle.be;http://www.hhchalle.be;140776;158228
41558;1;1;Gemeenschapsonderwijs;GO! technisch atheneum Halle;J;Kluisstraat;1    ;1500;HALLE;000000026196;1;     ;02-361.59.59;;info@go-tahalle.be;https://go-tahalle.be/;Vankeerberghen;Maggy;info@go-tahalle.be;https://go-tahalle.be/;141357;158195
32573;1;1;Vrij gesubsidieerd onderwijs;Heilig-Hart&College 3;J;Parklaan;7    ;1500;HALLE;000000026284;7;     ;02-363.80.20;;dirk.hoornaert@hhchalle.be;http://www.hhchalle.be;Hoornaert;Dirk;dirk.hoornaert@hhchalle.be;http://www.hhchalle.be;140776;158228
32631;1;1;Vrij gesubsidieerd onderwijs;Heilig-Hart&College 1;J;Parklaan;7    ;1500;HALLE;000000026284;7;     ;02-363.80.20;;hilde.vanwielendaele@hhchalle.be;http://www.hhchalle.be;Van Wieledaele;Hilde;hilde.vanwielendaele@hhchalle.be;http://www.hhchalle.be;140776;158228
32871;1;1;Vrij gesubsidieerd onderwijs;Sancta Mariainstituut;J;Heerweg;77   ;1502;LEMBEEK;000000026126;77;     ;02-356.68.68;02-361.20.48;info@sanctamarialembeek.be;http://www.sanctamarialembeek.be;Marissens;Herman;info@sanctamarialembeek.be;http://www.sanctamarialembeek.be;139717;156313
33449;1;1;Vrij gesubsidieerd onderwijs;Onze-Lieve-Vrouwinstituut -   Secundair Onderwijs - A.S.O. -T.S.O - B.S.O.;J;Kloosterweg;1    ;1640;SINT-GENESIUS-RODE;000000030770;1;     ;02-380.10.15;02-380.54.89;administratie@olvrode.be;http://www.olvrode.be;Loonbeek;Dirk;administratie@olvrode.be;http://www.olvrode.be;148232;159454
31931;1;1;Vrij gesubsidieerd onderwijs;A.E.G. - Sint-Victorinstituut;J;Brusselsesteenweg;20   ;1652;ALSEMBERG;000000024572;20;     ;02-380.15.89;02-380.30.88;info@sintvictor.be;http://www.sintvictor.be;Vande Lannoote;Sylvie;info@sintvictor.be;http://www.sintvictor.be;147591;159078
31922;1;1;Vrij gesubsidieerd onderwijs;Sint-Victorinstituut -        Bovenbouw;J;Brusselsesteenweg;20   ;1652;ALSEMBERG;000000024572;20;     ;02-380.15.89;02-380.30.88;info@sintvictor.be;http://www.sintvictor.be;Van Waeyenberge;Pieter;info@sintvictor.be;http://www.sintvictor.be;147591;159078
32458;1;1;Vrij gesubsidieerd onderwijs;Regina-Caelilyceum;J;Rozenlaan;45   ;1700;DILBEEK;000000025275;45;     ;02-568.18.18;02-568.18.55;hugo.dewulf@erce.be;http://www.reginacaeli.be;De Wulf;Hugo;hugo.dewulf@erce.be;http://www.reginacaeli.be;143649;170224
115221;1;1;Vrij gesubsidieerd onderwijs;Regina-Caelilyceum E.G.;J;Rozenlaan;45   ;1700;DILBEEK;000000025275;45;     ;02-568.18.18;02-568.18.44;maria.kestens@erce.be;http://www.reginacaeli.be;Kestens;Maria;maria.kestens@erce.be;http://www.reginacaeli.be;143649;170224
115337;1;1;Vrij gesubsidieerd onderwijs;Don Bosco-Instituut           ASO/TSO/BSO;J;Brusselstraat;283  ;1702;GROOT-BIJGAARDEN;000000024967;283;     ;02-466.55.79;02-466.61.85;administratie@donboscogb.be;http://www.donboscogb.be;LEYS;Peter;administratie@donboscogb.be;http://www.donboscogb.be;142311;173379
115329;1;1;Vrij gesubsidieerd onderwijs;Don Bosco-Instituut EG;J;Brusselstraat;283  ;1702;GROOT-BIJGAARDEN;000000024967;283;     ;02-466.55.79;;administratie@donboscogb.be;http://www.donboscogb.be;Reynaerts;Marc;administratie@donboscogb.be;http://www.donboscogb.be;142311;173379
41319;1;1;Gemeenschapsonderwijs;GO! middenschool campus Vijverbeek Asse;J;Nieuwstraat;122  ;1730;ASSE;000000024390;122;     ;02-451.61.01;;middenschool@vijverbeek.be;http://ericmathieu.wixsite.com/ms-vijverbeek;Mathieu;Eric;middenschool@vijverbeek.be;http://ericmathieu.wixsite.com/ms-vijverbeek;137525;177522
32061;1;1;Vrij gesubsidieerd onderwijs;Sint-Martinusscholen - ASO;J;Petrus Ascanusplein;1    ;1730;ASSE;000000024411;1;     ;02-454.06.30;;directie.aso@martinusasse.be;https://aso.martinusasse.be;De Smet;Kristiaan;directie.aso@martinusasse.be;https://aso.martinusasse.be;139346;176836
41301;1;1;Gemeenschapsonderwijs;GO! atheneum campus Vijverbeek Asse;J;Nieuwstraat;122  ;1730;ASSE;000000024390;122;     ;02-451.61.00;02-451.61.06;atheneum@vijverbeek.be;http://www.kavijverbeek.be;Van Belle;Marijke;atheneum@vijverbeek.be;http://www.kavijverbeek.be;137525;177522
32078;1;1;Vrij gesubsidieerd onderwijs;Sint-Martinusscholen TSO-BSO;J;Koensborre;1    ;1730;ASSE;000000024325;1;     ;02-452.92.82;02-452.30.35;info.tso-bso@martinusasse.be;www.martinusasse.be;De Boeck;Wim;info.tso-bso@martinusasse.be;www.martinusasse.be;137709;177870
32086;1;1;Vrij gesubsidieerd onderwijs;Sint-Martinusscholen -        Middenschool;J;Parklaan;17   ;1730;ASSE;000000024405;17;     ;02-452.64.38;;directie.ms@smma.be;http://www.smma.be;Bernaer;Jeannine;directie.ms@smma.be;http://www.smma.be;138447;177423
33522;1;1;Vrij gesubsidieerd onderwijs;Katholiek Secundair Onderwijs Ternat - Sint-Angela;J;Statiestraat;35   ;1740;TERNAT;000000029149;35;     ;02-582.15.38;02-582.72.58;els.debrael@sint-angela-ternat.be;http://www.sint-angela-ternat.be;De Brael;Els;els.debrael@sint-angela-ternat.be;http://www.sint-angela-ternat.be;136308;173359
33514;1;1;Vrij gesubsidieerd onderwijs;Sint-Jozefsinstituut;J;Statiestraat;37   ;1740;TERNAT;000000029149;37;     ;02-582.13.11;;directie@sint-jozef-ternat.be;http://www.sint-jozef-ternat.be;Noppe;Yannick;directie@sint-jozef-ternat.be;http://www.sint-jozef-ternat.be;136132;173460
33291;1;1;Vrij gesubsidieerd onderwijs;Vrij Katholiek Onderwijs      Opwijk;J;Karenveldstraat;23   ;1745;OPWIJK;000000027961;23;     ;052-35.71.22;052-36.59.80;vko@vko.be;http://www.vko.be;De Smedt;Lucienne;vko@vko.be;http://www.vko.be;136894;184169
33308;1;1;Vrij gesubsidieerd onderwijs;Vrij Katholiek Onderwijs      Opwijk - Middenschool;J;Karenveldstraat;23   ;1745;OPWIJK;000000027961;23;     ;052-35.71.21;052-36.59.90;vko.middenschool@vko.be;http://www.vko.be;Haverals;Anja;vko.middenschool@vko.be;http://www.vko.be;136894;184169
41781;1;1;Gemeenschapsonderwijs;GO! middenschool Lennik;J;Karel Keymolenstraat;35   ;1750;LENNIK;000000031258;35;     ;02-532.45.18;;MS.SIGO-LENNIK@ringscholen.be;http://www.sigolennik.be;DE TROYER;Fanny;MS.SIGO-LENNIK@ringscholen.be;http://www.sigolennik.be;134691;166403
41558;3;2;Gemeenschapsonderwijs;GO! technisch atheneum Halle;N;Karel Keymolenstraat;35   ;1750;LENNIK;000000031258;35;     ;02-532.45.18;;;;Vankeerberghen;Maggy;info@go-tahalle.be;https://go-tahalle.be/;134691;166403
125211;1;1;Vrij gesubsidieerd onderwijs;Sint-Godelieve-Instituut ASO;J;Schapenstraat;39   ;1750;SINT-MARTENS-LENNIK;000000031326;39;     ;02-532.58.36;02-531.00.59;sint.godelieve.instituut@skynet.be;http://www.sgi-lennik.com;DE SMET;Lieve;sint.godelieve.instituut@skynet.be;http://www.sgi-lennik.com;135816;167197
125229;1;1;Vrij gesubsidieerd onderwijs;Sint-Godelieve-Instituut      Autonome Eerste Graad;J;Schapenstraat;39   ;1750;SINT-MARTENS-LENNIK;000000031326;39;     ;02-532.58.36;02-531.00.59;sint.godelieve.instituut@skynet.be;http://www.sgi-lennik.com;Claes;Greta;sint.godelieve.instituut@skynet.be;http://www.sgi-lennik.com;135816;167197
33944;1;1;Vrij gesubsidieerd onderwijs;Immaculata Maria Instituut;J;Kapelleweide;5    ;1760;ROOSDAAL;000000030253;5;     ;054-32.31.01;054-34.11.75;alg-directie.secundair@imi.be;http://www.imi-secundair.be;VAN MELLO;Anja;alg-directie.secundair@imi.be;http://www.imi-secundair.be;129987;170294
43117;2;2;Gemeenschapsonderwijs;GO! atheneum Denderleeuw;N;Kleemputtenstraat;20   ;1770;LIEDEKERKE;000000027091;20;     ;053-64.10.17;;;;Van der Stock;Tina;kad@kadenderleeuw.be;http://kadenderleeuw.be;130491;173776
